200m Medley,25m,3:20.39,14 May 2023,Gators LMR Meet,
200m Butterfly,25m,3:44.63,14 May 2023,Gators LMR Meet,
100m Freestyle,25m,1:19.79,14 May 2023,Gators LMR Meet,
100m Butterfly,25m,1:38.48,13 May 2023,Gators LMR Meet,
200m Backstroke,25m,3:12.43,13 May 2023,Gators LMR Meet,
50m Backstroke,25m,40.85,13 May 2023,Gators LMR Meet,RELAY
50m Freestyle,25m,35.22,13 May 2023,Gators LMR Meet,
50m Breaststroke,25m,49.13,16 Apr 2023,PSW Spring Invitational,
50m Butterfly,25m,43.18,15 Apr 2023,PSW Spring Invitational,
100m Breaststroke,25m,1:52.15,15 Apr 2023,PSW Spring Invitational,
200m Freestyle,25m,3:05.69,15 Apr 2023,PSW Spring Invitational,
200m Breaststroke,25m,4:05.81,12 Mar 2023,CHENA and GATORS LMR Meet,
100m Backstroke,25m,1:33.07,29 Jan 2023,CHENA U12 and Distance Meet,
50m Freestyle Laps,25m,36.18,22 Jan 2023,Mies Schootman Invitational Swim Meet,RELAY
