50m Freestyle Laps,25m,27.26,2 Jun 2019,LMR Championships,RELAY
50m Breaststroke Laps,25m,36.41,10 Feb 2019,LMR Championships,RELAY
100m Butterfly,25m,1:11.84,10 Feb 2019,LMR Championships,
50m Breaststroke,25m,38.09,10 Feb 2019,LMR Championships,
50m Freestyle,25m,27.38,10 Feb 2019,LMR Championships,
100m Freestyle,25m,1:01.90,9 Feb 2019,LMR Championships,
100m Breaststroke,25m,1:22.47,9 Feb 2019,LMR Championships,
50m Butterfly,25m,30.93,9 Feb 2019,LMR Championships,
200m Medley,25m,2:45.75,17 Jun 2018,LMR Champs,
200m Breaststroke,25m,3:03.02,18 Feb 2018,Lmr Champs,
200m Freestyle,25m,2:39.91,15 Oct 2017,SFU-SFA LMR Swim Meet,
100m Backstroke,25m,1:27.90,14 Oct 2017,SFU-SFA LMR Swim Meet,
100m Breaststroke,50m,1:35.58,14 May 2017,Rapids - West Coast Open,
200m Breaststroke,50m,3:38.52,13 May 2017,Rapids - West Coast Open,
100m Butterfly,50m,1:33.80,13 May 2017,Rapids - West Coast Open,
100m Freestyle,50m,1:14.86,13 May 2017,Rapids - West Coast Open,
50m Freestyle,50m,32.18,13 May 2017,Rapids - West Coast Open,
