100m Freestyle,25m,1:34.27, 23 Jul 2023,Hollyburn Summer Swim Meet,
50m Freestyle,25m,40.68, 23 Jul 2023,Hollyburn Summer Swim Meet,
100m Backstroke,25m,1:42.99, 22 Jul 2023,Hollyburn Summer Swim Meet,
50m Freestyle Laps,25m,41.43,13 May 2023,Gators LMR Meet,RELAY
50m Breaststroke,25m,52.87,13 May 2023,Gators LMR Meet,
200m Backstroke,25m,3:50.52,13 May 2023,Gators LMR Meet,
50m Backstroke,25m,49.52,13 May 2023,Gators LMR Meet,
100m Butterfly,25m,2:01.45,15 Apr 2023,PSW Spring Invitational,
100m Breaststroke,25m,2:02.95,15 Apr 2023,PSW Spring Invitational,
200m Freestyle,25m,3:44.56,15 Apr 2023,PSW Spring Invitational,
