200m Medley,25m,3:26.54, 23 Jul 2023,Hollyburn Summer Swim Meet,
200m Freestyle,25m,3:21.23, 23 Jul 2023,Hollyburn Summer Swim Meet,
50m Freestyle,25m,41.02, 22 Jul 2023,Hollyburn Summer Swim Meet,
200m Breaststroke,25m,3:59.39,4 Jun 2023,LMR East Championships,
50m Breaststroke,25m,48.93,4 Jun 2023,LMR East Championships,
100m Backstroke,25m,1:42.43,4 Jun 2023,LMR East Championships,
100m Breaststroke,25m,1:50.13,3 Jun 2023,LMR East Championships,
200m Backstroke,25m,3:33.35,3 Jun 2023,LMR East Championships,
50m Freestyle Laps,25m,40.33,14 May 2023,Gators LMR Meet,RELAY
200m Butterfly,25m,3:53.64,14 May 2023,Gators LMR Meet,
100m Freestyle,25m,1:35.83,14 May 2023,Gators LMR Meet,
50m Butterfly Laps,25m,43.65,13 May 2023,Gators LMR Meet,RELAY
100m Butterfly,25m,1:42.32,13 May 2023,Gators LMR Meet,
50m Backstroke,25m,45.92,13 May 2023,Gators LMR Meet,
50m Butterfly,25m,47.50,15 Apr 2023,PSW Spring Invitational,
