400m Freestyle,25m,6:21.95,4 Jun 2023,LMR East Championships,
100m Freestyle,25m,1:26.09,4 Jun 2023,LMR East Championships,
400m Medley,25m,7:43.87,3 Jun 2023,LMR East Championships,
200m Backstroke,25m,3:38.23,3 Jun 2023,LMR East Championships,
50m Backstroke,25m,43.90,3 Jun 2023,LMR East Championships,
50m Freestyle Laps,25m,37.77,14 May 2023,Gators LMR Meet,RELAY
50m Butterfly,25m,45.17,14 May 2023,Gators LMR Meet,
100m Butterfly,25m,1:46.11,13 May 2023,Gators LMR Meet,
200m Medley,25m,3:36.93,16 Apr 2023,PSW Spring Invitational,
50m Breaststroke,25m,54.62,16 Apr 2023,PSW Spring Invitational,
100m Breaststroke,25m,1:56.66,15 Apr 2023,PSW Spring Invitational,
100m Backstroke,25m,1:44.30,15 Apr 2023,PSW Spring Invitational,
200m Freestyle,25m,3:14.09,15 Apr 2023,PSW Spring Invitational,
50m Freestyle,25m,38.70,12 Mar 2023,CHENA and GATORS LMR Meet,
