50m Butterfly,25m,39.96, 23 Jul 2023,Hollyburn Summer Swim Meet,
100m Freestyle,25m,1:17.51, 23 Jul 2023,Hollyburn Summer Swim Meet,
50m Freestyle,25m,34.36, 23 Jul 2023,Hollyburn Summer Swim Meet,
100m Butterfly,25m,1:31.86, 22 Jul 2023,Hollyburn Summer Swim Meet,
50m Backstroke,25m,41.63,25 Jun 2023,Summer Divisionals - Vancouver & Fraser,
100m Breaststroke,25m,1:39.69,24 Jun 2023,Summer Divisionals - Vancouver & Fraser,
200m Medley,25m,3:15.11,4 Jun 2023,LMR East Championships,
100m Backstroke,25m,1:34.68,4 Jun 2023,LMR East Championships,
400m Freestyle,25m,6:22.48,4 Jun 2023,LMR East Championships,
400m Medley,25m,7:06.89,3 Jun 2023,LMR East Championships,
200m Freestyle,25m,2:56.97,3 Jun 2023,LMR East Championships,
200m Backstroke,25m,3:28.22,3 Jun 2023,LMR East Championships,
200m Butterfly,25m,3:36.03,14 May 2023,Gators LMR Meet,
50m Butterfly Laps,25m,44.28,13 May 2023,Gators LMR Meet,RELAY
200m Breaststroke,25m,3:29.79,13 May 2023,Gators LMR Meet,
