50m Butterfly,25m,45.00,4 Jun 2023,LMR East Championships,
200m Breaststroke,25m,3:30.22,4 Jun 2023,LMR East Championships,
100m Freestyle,25m,1:22.11,4 Jun 2023,LMR East Championships,
100m Butterfly,25m,1:38.16,3 Jun 2023,LMR East Championships,
100m Breaststroke,25m,1:38.80,3 Jun 2023,LMR East Championships,
200m Freestyle,25m,3:12.33,3 Jun 2023,LMR East Championships,
200m Medley,25m,3:19.12,14 May 2023,Gators LMR Meet,
200m Butterfly,25m,3:43.09,14 May 2023,Gators LMR Meet,
100m Backstroke,25m,1:36.03,14 May 2023,Gators LMR Meet,
50m Breaststroke,25m,44.12,13 May 2023,Gators LMR Meet,
200m Backstroke,25m,3:21.85,13 May 2023,Gators LMR Meet,
50m Backstroke,25m,45.42,13 May 2023,Gators LMR Meet,RELAY
50m Freestyle,25m,38.40,13 May 2023,Gators LMR Meet,
